row ID,row m/z,row retention time,20220601_100AGC_pluskal_mce_1D1_A1_id.mzML Peak area,VGF141_H06_pos.mzML Peak area,VGF141_A07_pos.mzML Peak area,VGF141_G06_pos.mzML Peak area,VGF142_A05_pos.mzML Peak area,VGF142_B03_pos.mzML Peak area,ThyW01_500ppm_cent_pos.mzML Peak area,Thy50_01_500ppm_cent_pos.mzML Peak area,ThyE01_500ppm_cent_pos.mzML Peak area,ThyW02_500ppm_cent_pos.mzML Peak area,ThyE02_500ppm_cent_pos.mzML Peak area,Thy50_02_500ppm_cent_pos.mzML Peak area,D Score,MD Score,type,elemental composition,identification,same composition,adduct ion,same peak,C10 loss,C10 loss_ion_pair,C10 loss_intensity_pair,C10 loss_score,C11 loss,C11 loss_ion_pair,C11 loss_intensity_pair,C11 loss_score,C9 loss,C9 loss_ion_pair,C9 loss_intensity_pair,C9 loss_score,C3 loss,C3 loss_ion_pair,C3 loss_intensity_pair,C3 loss_score,C2 loss,C2 loss_ion_pair,C2 loss_intensity_pair,C2 loss_score,C7 loss,C7 loss_ion_pair,C7 loss_intensity_pair,C7 loss_score,C15 ion,C15 ion_intensity,C15 ion_score,C17 ion,C17 ion_intensity,C17 ion_score,C18 ion,C18 ion_intensity,C18 ion_score,C19 ion,C19 ion_intensity,C19 ion_score,C20 ion,C20 ion_intensity,C20 ion_score,Acyl A ion,Acyl A ion_intensity,Acyl A ion_score,Acyl B ion,Acyl B ion_intensity,Acyl B ion_score,C5 ion,C5 ion_intensity,C5 ion_score,C6 ion,C6 ion_intensity,C6 ion_score
11906,363.1793,3,0,4835.249,0,0,11055.422,0,176739.92,142927.11,0,0,0,0,13,0,D,C20H26O6,possibly undescribed,none,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H24O5 / C17H20O3,30000.0 / 19000.0,0.1691,none,none,none,none,none,none,none,none,C15H18O2,2100,0.021,C17H20O2,25000,0.25,C18H20O3,7400,0.074,C19H20O2,17000,0.17,C20H18O2,2500,0.025,C4H4O,17000,0.17,none,none,none,none,none,none,C6H6O,3500,0.035
11906,363.1793,3,0,4835.249,0,0,11055.422,0,176739.92,142927.11,0,0,0,0,13,0,D,C20H26O6,possibly undescribed,none,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H24O5 / C17H20O3,30000.0 / 19000.0,0.1691,none,none,none,none,none,none,none,none,C15H18O2,2100,0.021,C17H20O2,25000,0.25,C18H20O3,7400,0.074,C19H20O2,17000,0.17,C20H18O2,2500,0.025,C8H8O,8600,0.086,none,none,none,none,none,none,C6H6O,3500,0.035
11906,363.1793,3,0,4835.249,0,0,11055.422,0,176739.92,142927.11,0,0,0,0,13,0,D,C20H26O6,possibly undescribed,none,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H24O5 / C17H20O3,30000.0 / 19000.0,0.1691,none,none,none,none,none,none,none,none,C15H18O2,2100,0.021,C17H20O2,25000,0.25,C18H20O3,7400,0.074,C19H18O1,5500,0.055,C20H22O4,51000,0.51,C4H4O,17000,0.17,none,none,none,none,none,none,C6H6O,3500,0.035
11906,363.1793,3,0,4835.249,0,0,11055.422,0,176739.92,142927.11,0,0,0,0,13,0,D,C20H26O6,possibly undescribed,none,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H24O5 / C17H20O3,30000.0 / 19000.0,0.1691,none,none,none,none,none,none,none,none,C15H18O2,2100,0.021,C17H20O2,25000,0.25,C18H20O3,7400,0.074,C19H18O1,5500,0.055,C20H22O4,51000,0.51,C8H8O,8600,0.086,none,none,none,none,none,none,C6H6O,3500,0.035
11906,363.1793,3,0,4835.249,0,0,11055.422,0,176739.92,142927.11,0,0,0,0,13,0,D,C20H26O6,possibly undescribed,none,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H24O5 / C17H20O3,30000.0 / 19000.0,0.1691,none,none,none,none,none,none,none,none,C15H18O2,2100,0.021,C17H20O2,25000,0.25,C18H20O3,7400,0.074,C19H18O1,5500,0.055,C20H20O3,11000,0.11,C4H4O,17000,0.17,none,none,none,none,none,none,C6H6O,3500,0.035
11906,363.1793,3,0,4835.249,0,0,11055.422,0,176739.92,142927.11,0,0,0,0,13,0,D,C20H26O6,possibly undescribed,none,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H24O5 / C17H20O3,30000.0 / 19000.0,0.1691,none,none,none,none,none,none,none,none,C15H18O2,2100,0.021,C17H20O2,25000,0.25,C18H20O3,7400,0.074,C19H18O1,5500,0.055,C20H20O3,11000,0.11,C8H8O,8600,0.086,none,none,none,none,none,none,C6H6O,3500,0.035
11906,363.1793,3,0,4835.249,0,0,11055.422,0,176739.92,142927.11,0,0,0,0,13,0,D,C20H26O6,possibly undescribed,none,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H24O5 / C17H20O3,30000.0 / 19000.0,0.1691,none,none,none,none,none,none,none,none,C15H18O2,2100,0.021,C17H20O2,25000,0.25,C18H20O3,7400,0.074,C19H18O1,5500,0.055,C20H18O2,2500,0.025,C4H4O,17000,0.17,none,none,none,none,none,none,C6H6O,3500,0.035
11906,363.1793,3,0,4835.249,0,0,11055.422,0,176739.92,142927.11,0,0,0,0,13,0,D,C20H26O6,possibly undescribed,none,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H24O5 / C17H20O3,30000.0 / 19000.0,0.1691,none,none,none,none,none,none,none,none,C15H18O2,2100,0.021,C17H20O2,25000,0.25,C18H20O3,7400,0.074,C19H18O1,5500,0.055,C20H18O2,2500,0.025,C8H8O,8600,0.086,none,none,none,none,none,none,C6H6O,3500,0.035
11906,363.1793,3,0,4835.249,0,0,11055.422,0,176739.92,142927.11,0,0,0,0,13,0,D,C20H26O6,possibly undescribed,none,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H24O5 / C17H20O3,30000.0 / 19000.0,0.1691,none,none,none,none,none,none,none,none,C15H18O2,2100,0.021,C17H20O2,25000,0.25,C18H20O1,6700,0.067,C19H22O3,100000,1,C20H22O4,51000,0.51,C4H4O,17000,0.17,none,none,none,none,none,none,C6H6O,3500,0.035
11906,363.1793,3,0,4835.249,0,0,11055.422,0,176739.92,142927.11,0,0,0,0,13,0,D,C20H26O6,possibly undescribed,none,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H24O5 / C17H20O3,30000.0 / 19000.0,0.1691,none,none,none,none,none,none,none,none,C15H18O2,2100,0.021,C17H20O2,25000,0.25,C18H20O1,6700,0.067,C19H22O3,100000,1,C20H22O4,51000,0.51,C8H8O,8600,0.086,none,none,none,none,none,none,C6H6O,3500,0.035
11906,363.1793,3,0,4835.249,0,0,11055.422,0,176739.92,142927.11,0,0,0,0,13,0,D,C20H26O6,possibly undescribed,none,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H24O5 / C17H20O3,30000.0 / 19000.0,0.1691,none,none,none,none,none,none,none,none,C15H18O2,2100,0.021,C17H20O2,25000,0.25,C18H20O1,6700,0.067,C19H22O3,100000,1,C20H20O3,11000,0.11,C4H4O,17000,0.17,none,none,none,none,none,none,C6H6O,3500,0.035
11906,363.1793,3,0,4835.249,0,0,11055.422,0,176739.92,142927.11,0,0,0,0,13,0,D,C20H26O6,possibly undescribed,none,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H24O5 / C17H20O3,30000.0 / 19000.0,0.1691,none,none,none,none,none,none,none,none,C15H18O2,2100,0.021,C17H20O2,25000,0.25,C18H20O1,6700,0.067,C19H22O3,100000,1,C20H20O3,11000,0.11,C8H8O,8600,0.086,none,none,none,none,none,none,C6H6O,3500,0.035
11906,363.1793,3,0,4835.249,0,0,11055.422,0,176739.92,142927.11,0,0,0,0,13,0,D,C20H26O6,possibly undescribed,none,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H24O5 / C17H20O3,30000.0 / 19000.0,0.1691,none,none,none,none,none,none,none,none,C15H18O2,2100,0.021,C17H20O2,25000,0.25,C18H20O1,6700,0.067,C19H22O3,100000,1,C20H18O2,2500,0.025,C4H4O,17000,0.17,none,none,none,none,none,none,C6H6O,3500,0.035
11906,363.1793,3,0,4835.249,0,0,11055.422,0,176739.92,142927.11,0,0,0,0,13,0,D,C20H26O6,possibly undescribed,none,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H24O5 / C17H20O3,30000.0 / 19000.0,0.1691,none,none,none,none,none,none,none,none,C15H18O2,2100,0.021,C17H20O2,25000,0.25,C18H20O1,6700,0.067,C19H22O3,100000,1,C20H18O2,2500,0.025,C8H8O,8600,0.086,none,none,none,none,none,none,C6H6O,3500,0.035
11906,363.1793,3,0,4835.249,0,0,11055.422,0,176739.92,142927.11,0,0,0,0,13,0,D,C20H26O6,possibly undescribed,none,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H24O5 / C17H20O3,30000.0 / 19000.0,0.1691,none,none,none,none,none,none,none,none,C15H18O2,2100,0.021,C17H20O2,25000,0.25,C18H20O1,6700,0.067,C19H20O2,17000,0.17,C20H22O4,51000,0.51,C4H4O,17000,0.17,none,none,none,none,none,none,C6H6O,3500,0.035
11906,363.1793,3,0,4835.249,0,0,11055.422,0,176739.92,142927.11,0,0,0,0,13,0,D,C20H26O6,possibly undescribed,none,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H24O5 / C17H20O3,30000.0 / 19000.0,0.1691,none,none,none,none,none,none,none,none,C15H18O2,2100,0.021,C17H20O2,25000,0.25,C18H20O1,6700,0.067,C19H20O2,17000,0.17,C20H22O4,51000,0.51,C8H8O,8600,0.086,none,none,none,none,none,none,C6H6O,3500,0.035
11906,363.1793,3,0,4835.249,0,0,11055.422,0,176739.92,142927.11,0,0,0,0,13,0,D,C20H26O6,possibly undescribed,none,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H24O5 / C17H20O3,30000.0 / 19000.0,0.1691,none,none,none,none,none,none,none,none,C15H18O2,2100,0.021,C17H20O2,25000,0.25,C18H20O1,6700,0.067,C19H20O2,17000,0.17,C20H20O3,11000,0.11,C4H4O,17000,0.17,none,none,none,none,none,none,C6H6O,3500,0.035
11906,363.1793,3,0,4835.249,0,0,11055.422,0,176739.92,142927.11,0,0,0,0,13,0,D,C20H26O6,possibly undescribed,none,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H24O5 / C17H20O3,30000.0 / 19000.0,0.1691,none,none,none,none,none,none,none,none,C15H18O2,2100,0.021,C17H20O2,25000,0.25,C18H20O1,6700,0.067,C19H20O2,17000,0.17,C20H20O3,11000,0.11,C8H8O,8600,0.086,none,none,none,none,none,none,C6H6O,3500,0.035
11906,363.1793,3,0,4835.249,0,0,11055.422,0,176739.92,142927.11,0,0,0,0,13,0,D,C20H26O6,possibly undescribed,none,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H24O5 / C17H20O3,30000.0 / 19000.0,0.1691,none,none,none,none,none,none,none,none,C15H18O2,2100,0.021,C17H20O2,25000,0.25,C18H20O1,6700,0.067,C19H20O2,17000,0.17,C20H18O2,2500,0.025,C4H4O,17000,0.17,none,none,none,none,none,none,C6H6O,3500,0.035
11906,363.1793,3,0,4835.249,0,0,11055.422,0,176739.92,142927.11,0,0,0,0,13,0,D,C20H26O6,possibly undescribed,none,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H24O5 / C17H20O3,30000.0 / 19000.0,0.1691,none,none,none,none,none,none,none,none,C15H18O2,2100,0.021,C17H20O2,25000,0.25,C18H20O1,6700,0.067,C19H20O2,17000,0.17,C20H18O2,2500,0.025,C8H8O,8600,0.086,none,none,none,none,none,none,C6H6O,3500,0.035
11906,363.1793,3,0,4835.249,0,0,11055.422,0,176739.92,142927.11,0,0,0,0,13,0,D,C20H26O6,possibly undescribed,none,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H24O5 / C17H20O3,30000.0 / 19000.0,0.1691,none,none,none,none,none,none,none,none,C15H18O2,2100,0.021,C17H20O2,25000,0.25,C18H20O1,6700,0.067,C19H18O1,5500,0.055,C20H22O4,51000,0.51,C4H4O,17000,0.17,none,none,none,none,none,none,C6H6O,3500,0.035
11906,363.1793,3,0,4835.249,0,0,11055.422,0,176739.92,142927.11,0,0,0,0,13,0,D,C20H26O6,possibly undescribed,none,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H24O5 / C17H20O3,30000.0 / 19000.0,0.1691,none,none,none,none,none,none,none,none,C15H18O2,2100,0.021,C17H20O2,25000,0.25,C18H20O1,6700,0.067,C19H18O1,5500,0.055,C20H22O4,51000,0.51,C8H8O,8600,0.086,none,none,none,none,none,none,C6H6O,3500,0.035
11906,363.1793,3,0,4835.249,0,0,11055.422,0,176739.92,142927.11,0,0,0,0,13,0,D,C20H26O6,possibly undescribed,none,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H24O5 / C17H20O3,30000.0 / 19000.0,0.1691,none,none,none,none,none,none,none,none,C15H18O2,2100,0.021,C17H20O2,25000,0.25,C18H20O1,6700,0.067,C19H18O1,5500,0.055,C20H20O3,11000,0.11,C4H4O,17000,0.17,none,none,none,none,none,none,C6H6O,3500,0.035
11906,363.1793,3,0,4835.249,0,0,11055.422,0,176739.92,142927.11,0,0,0,0,13,0,D,C20H26O6,possibly undescribed,none,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H24O5 / C17H20O3,30000.0 / 19000.0,0.1691,none,none,none,none,none,none,none,none,C15H18O2,2100,0.021,C17H20O2,25000,0.25,C18H20O1,6700,0.067,C19H18O1,5500,0.055,C20H20O3,11000,0.11,C8H8O,8600,0.086,none,none,none,none,none,none,C6H6O,3500,0.035
11906,363.1793,3,0,4835.249,0,0,11055.422,0,176739.92,142927.11,0,0,0,0,13,0,D,C20H26O6,possibly undescribed,none,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H24O5 / C17H20O3,30000.0 / 19000.0,0.1691,none,none,none,none,none,none,none,none,C15H18O2,2100,0.021,C17H20O2,25000,0.25,C18H20O1,6700,0.067,C19H18O1,5500,0.055,C20H18O2,2500,0.025,C4H4O,17000,0.17,none,none,none,none,none,none,C6H6O,3500,0.035
11906,363.1793,3,0,4835.249,0,0,11055.422,0,176739.92,142927.11,0,0,0,0,13,0,D,C20H26O6,possibly undescribed,none,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H24O5 / C17H20O3,30000.0 / 19000.0,0.1691,none,none,none,none,none,none,none,none,C15H18O2,2100,0.021,C17H20O2,25000,0.25,C18H20O1,6700,0.067,C19H18O1,5500,0.055,C20H18O2,2500,0.025,C8H8O,8600,0.086,none,none,none,none,none,none,C6H6O,3500,0.035
11906,363.1793,3,0,4835.249,0,0,11055.422,0,176739.92,142927.11,0,0,0,0,13,0,D,C20H26O6,possibly undescribed,none,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H24O5 / C17H20O3,30000.0 / 19000.0,0.1691,none,none,none,none,none,none,none,none,C15H18O2,2100,0.021,C17H20O2,25000,0.25,C18H20O1,6700,0.067,C19H22O3,100000,1,C20H22O4,51000,0.51,C4H4O,17000,0.17,none,none,none,none,none,none,C6H6O,3500,0.035
11906,363.1793,3,0,4835.249,0,0,11055.422,0,176739.92,142927.11,0,0,0,0,13,0,D,C20H26O6,possibly undescribed,none,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H24O5 / C17H20O3,30000.0 / 19000.0,0.1691,none,none,none,none,none,none,none,none,C15H18O2,2100,0.021,C17H20O2,25000,0.25,C18H20O1,6700,0.067,C19H22O3,100000,1,C20H22O4,51000,0.51,C8H8O,8600,0.086,none,none,none,none,none,none,C6H6O,3500,0.035
11906,363.1793,3,0,4835.249,0,0,11055.422,0,176739.92,142927.11,0,0,0,0,13,0,D,C20H26O6,possibly undescribed,none,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H24O5 / C17H20O3,30000.0 / 19000.0,0.1691,none,none,none,none,none,none,none,none,C15H18O2,2100,0.021,C17H20O2,25000,0.25,C18H20O1,6700,0.067,C19H22O3,100000,1,C20H20O3,11000,0.11,C4H4O,17000,0.17,none,none,none,none,none,none,C6H6O,3500,0.035
11906,363.1793,3,0,4835.249,0,0,11055.422,0,176739.92,142927.11,0,0,0,0,13,0,D,C20H26O6,possibly undescribed,none,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H24O5 / C17H20O3,30000.0 / 19000.0,0.1691,none,none,none,none,none,none,none,none,C15H18O2,2100,0.021,C17H20O2,25000,0.25,C18H20O1,6700,0.067,C19H22O3,100000,1,C20H20O3,11000,0.11,C8H8O,8600,0.086,none,none,none,none,none,none,C6H6O,3500,0.035
11906,363.1793,3,0,4835.249,0,0,11055.422,0,176739.92,142927.11,0,0,0,0,13,0,D,C20H26O6,possibly undescribed,none,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H24O5 / C17H20O3,30000.0 / 19000.0,0.1691,none,none,none,none,none,none,none,none,C15H18O2,2100,0.021,C17H20O2,25000,0.25,C18H20O1,6700,0.067,C19H22O3,100000,1,C20H18O2,2500,0.025,C4H4O,17000,0.17,none,none,none,none,none,none,C6H6O,3500,0.035
11906,363.1793,3,0,4835.249,0,0,11055.422,0,176739.92,142927.11,0,0,0,0,13,0,D,C20H26O6,possibly undescribed,none,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H24O5 / C17H20O3,30000.0 / 19000.0,0.1691,none,none,none,none,none,none,none,none,C15H18O2,2100,0.021,C17H20O2,25000,0.25,C18H20O1,6700,0.067,C19H22O3,100000,1,C20H18O2,2500,0.025,C8H8O,8600,0.086,none,none,none,none,none,none,C6H6O,3500,0.035
11906,363.1793,3,0,4835.249,0,0,11055.422,0,176739.92,142927.11,0,0,0,0,13,0,D,C20H26O6,possibly undescribed,none,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H24O5 / C17H20O3,30000.0 / 19000.0,0.1691,none,none,none,none,none,none,none,none,C15H18O2,2100,0.021,C17H20O2,25000,0.25,C18H20O1,6700,0.067,C19H20O2,17000,0.17,C20H22O4,51000,0.51,C4H4O,17000,0.17,none,none,none,none,none,none,C6H6O,3500,0.035
11906,363.1793,3,0,4835.249,0,0,11055.422,0,176739.92,142927.11,0,0,0,0,13,0,D,C20H26O6,possibly undescribed,none,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H24O5 / C17H20O3,30000.0 / 19000.0,0.1691,none,none,none,none,none,none,none,none,C15H18O2,2100,0.021,C17H20O2,25000,0.25,C18H20O1,6700,0.067,C19H20O2,17000,0.17,C20H22O4,51000,0.51,C8H8O,8600,0.086,none,none,none,none,none,none,C6H6O,3500,0.035
11906,363.1793,3,0,4835.249,0,0,11055.422,0,176739.92,142927.11,0,0,0,0,13,0,D,C20H26O6,possibly undescribed,none,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H24O5 / C17H20O3,30000.0 / 19000.0,0.1691,none,none,none,none,none,none,none,none,C15H18O2,2100,0.021,C17H20O2,25000,0.25,C18H20O1,6700,0.067,C19H20O2,17000,0.17,C20H20O3,11000,0.11,C4H4O,17000,0.17,none,none,none,none,none,none,C6H6O,3500,0.035
11906,363.1793,3,0,4835.249,0,0,11055.422,0,176739.92,142927.11,0,0,0,0,13,0,D,C20H26O6,possibly undescribed,none,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H24O5 / C17H20O3,30000.0 / 19000.0,0.1691,none,none,none,none,none,none,none,none,C15H18O2,2100,0.021,C17H20O2,25000,0.25,C18H20O1,6700,0.067,C19H20O2,17000,0.17,C20H20O3,11000,0.11,C8H8O,8600,0.086,none,none,none,none,none,none,C6H6O,3500,0.035
